[13056.818498] 212:22f
[13056.818502] 758:17f
[13056.818507] 208:22f
[13056.818512] 743:17f
[13056.818516] 228:22f
[13056.818521] 815:17f
[13056.818525] 149:22f
[13056.818530] 819:17f
[13056.818535] 180:22f
[13056.818540] 803:17f
[13056.818544] 177:22f
[13056.818549] 793:17f
[13056.818554] 171:22f
[13056.818558] 817:17f
[13056.818563] 151:22f
[13056.818568] 825:17f
[13056.818572] 191:22f
[13056.818577] 778:17f
[13056.818582] 192:22f
[13056.818586] 792:17f
[13056.818591] 195:22f
[13056.818596] 778:17f
[13056.818600] 201:22f
[13056.818605] 759:17f
[13056.818610] 237:22f
[13056.818614] 732:17f
[13056.818619] 262:22f
[13056.818623] 731:17f
[13056.818628] 249:22f
[13056.818633] 714:17f
[13056.818637] 260:22f
[13056.818642] 707:17f
[13056.818647] 270:22f
[13056.818651] 781:17f
[13056.818656] 181:22f
[13056.818661] 785:17f
[13056.818665] 184:22f
[13056.818670] 791:17f
[13056.818675] 206:22f
[13056.818679] 749:17f
[13056.818684] 298:22f
[13056.818689] 670:17f
[13056.818693] 298:22f
[13056.818698] 676:17f
[13056.818703] 318:22f
[13056.818707] 682:17f
[13056.818712] 300:22f
[13056.818716] 707:17f
[13056.818721] 278:22f
[13056.818726] 731:17f
[13056.818730] 264:22f
[13056.818735] 748:17f
[13056.818740] 244:22f
[13056.818744] 771:17f
[13056.818749] 291:22f
[13056.818754] 743:17f
[13056.818759] 225:22f
[13056.818763] 791:17f
[13056.818768] 219:22f
[13056.818772] 796:17f
[13056.818777] 465:22f
[13056.818782] 521:17f
[13056.818787] 474:22f
[13056.818791] 730:17f
[13056.818796] 236:22f
[13056.818801] 775:17f
[13056.818805] 188:22f
[13056.818810] 830:17f
[13056.818815] 171:22f
[13056.818819] 845:17f
[13056.818824] 141:22f
[13056.818829] 880:17f
[13056.818833] 87:22f
[13056.818838] 925:17f
[13056.818842] 61:22f
[13056.818847] 850:18f
[13056.818852] 1755:17f
[13056.818857] 114:22f
[13056.818861] 222:27f
[13056.818866] 1157:27f
[13056.818871] 953:27f
[13056.818875] 965:27f
[13056.818880] 1149:27f
[13056.818885] 967:27f
[13056.818889] 953:27f
[13056.818894] 1003:27f
[13056.818899] 955:27f
[13056.818903] 972:27f
[13056.818908] 963:27f
[13056.818913] 966:27f
[13056.818917] 966:27f
[13056.818922] 961:27f
[13056.818927] 964:27f
[13056.818931] 1111:27f
[13056.818936] 966:27f
[13056.818941] 1053:27f
[13056.818945] 965:27f
[13056.818950] 950:27f
[13056.818955] 1010:27f
[13056.818960] 1056:27f
[13056.818964] 966:27f
[13056.818969] 1002:27f
[13056.818973] 964:27f
[13056.818978] 964:27f
[13056.818983] 995:27f
[13056.818988] 955:27f
[13056.818992] 980:27f
[13056.818997] 1011:27f
[13056.819002] 965:27f
[13056.819006] 966:27f
[13056.819011] 970:27f
[13056.819016] 988:27f
[13056.819020] 988:27f
[13056.819025] 1002:27f
[13056.819030] 1011:27f
[13056.819034] 1017:27f
[13056.819039] 1003:27f
[13056.819044] 966:27f
[13056.819048] 939:17f
[13056.819053] 157:22f
[13056.819058] 937:27f
[13056.819063] 1000:27f
[13056.819067] 977:27f
[13056.819072] 969:27f
[13056.819077] 962:27f
[13056.819081] 965:27f
[13056.819086] 975:27f
[13056.819091] 964:27f
[13056.819095] 980:27f
[13056.819100] 988:27f
[13056.819105] 1382:27f
[13056.819109] 963:27f
[13056.819114] 1053:27f
[13056.819119] 1143:27f
[13056.819123] 975:27f
[13056.819128] 1115:27f
[13056.819133] 969:27f
[13056.819137] 1068:27f
[13056.819142] 987:27f
[13056.819147] 975:27f
[13056.819152] 1011:27f
[13056.819157] 2:17f
[13056.819161] 963:27f
[13056.819166] 1295:27f
[13056.819170] 982:27f
[13056.819175] 963:27f
[13056.819180] 969:27f
[13056.819185] 969:27f
[13056.819189] 964:27f
[13056.819194] 996:27f
[13056.819198] 973:27f
[13056.819203] 919:22f
[13056.819208] 1076:27f
[13056.819212] 973:27f
[13056.819217] 1067:27f
[13056.819222] 970:27f
[13056.819227] 996:27f
[13056.819231] 1007:17f
[13056.819236] 1060:27f
[13056.819241] 979:27f
[13056.819245] 968:27f
[13056.819250] 968:27f
[13056.819255] 993:27f
[13056.819259] 970:27f
[13056.819264] 962:27f
[13056.819269] 996:27f
[13056.819273] 974:27f
[13056.819278] 1167:22f
[13056.819283] 988:27f
[13056.819287] 1097:27f
[13056.819292] 979:27f
[13056.819297] 1077:27f
[13056.819302] 966:27f
[13056.819307] 1144:27f
[13056.819311] 977:27f
[13056.819316] 1062:27f
[13056.819321] 848:22f
[13056.819325] 171:17f
[13056.819330] 1014:27f
[13056.819335] 964:27f
[13056.819339] 1001:27f
[13056.819344] 1036:27f
[13056.819349] 969:27f
[13056.819353] 946:17f
[13056.819358] 971:27f
[13056.819363] 967:27f
[13056.819367] 1159:27f
[13056.819372] 1033:27f
[13056.819377] 1313:27f
[13056.819382] 989:27f
[13056.819386] 979:27f
[13056.819391] 977:27f
[13056.819396] 994:27f
[13056.819401] 1030:27f
[13056.819405] 1044:27f
[13056.819410] 968:27f
[13056.819415] 965:27f
[13056.819419] 1357:27f
[13056.819424] 975:27f
[13056.819429] 1015:27f
[13056.819434] 965:27f
[13056.819438] 968:27f
[13056.819443] 967:17f
[13056.819447] 956:27f
[13056.819452] 986:27f
[13056.819457] 977:27f
[13056.819461] 1026:27f
[13056.819466] 971:27f
[13056.819471] 956:27f
[13056.819475] 984:27f
[13056.819480] 972:27f
[13056.819485] 961:27f
[13056.819489] 967:27f
[13056.819494] 1090:27f
[13056.819499] 974:27f
[13056.819504] 979:27f
[13056.819508] 962:27f
[13056.819513] 1126:27f
[13056.819517] 970:27f
[13056.819522] 983:27f
[13056.819527] 981:27f
[13056.819532] 961:27f
[13056.819536] 967:27f
[13056.819541] 978:27f
[13056.819546] 963:27f
[13056.819550] 980:27f
[13056.819555] 963:27f
[13056.819560] 971:27f
[13056.819564] 972:27f
[13056.819569] 97:18f
[13056.819573] 1316:27f
[13056.819578] 910:22f
[13056.819583] 974:22f
[13056.819587] 45:17f
[13056.819592] 899:22f
[13056.819597] 74:17f
[13056.819601] 906:22f
[13056.819606] 49:17f
[13056.819611] 914:22f
[13056.819615] 53:17f
[13056.819620] 917:22f
[13056.819625] 57:17f
[13056.819629] 903:22f
[13056.819634] 65:17f
[13056.819638] 911:22f
[13056.819643] 54:17f
[13056.819648] 933:22f
[13056.819652] 59:17f
[13056.819657] 899:22f
[13056.819662] 65:17f
[13056.819666] 901:22f
[13056.819671] 60:17f
[13056.819676] 911:22f
[13056.819680] 64:17f
[13056.819685] 973:17f
[13056.819689] 81:22f
[13056.819694] 882:17f
[13056.819699] 70:22f
[13056.819703] 896:17f
[13056.819708] 89:22f
[13056.819713] 877:17f
[13056.819717] 68:22f
[13056.819722] 879:17f
[13056.819727] 85:22f
[13056.819731] 904:17f
[13056.819736] 40:22f
[13056.819740] 905:17f
[13056.819745] 92:22f
[13056.819750] 876:17f
[13056.819755] 73:22f
[13056.819759] 880:17f
[13056.819764] 107:22f
[13056.819769] 875:17f
[13056.819773] 91:22f
[13056.819778] 856:17f
[13056.819782] 107:22f
[13056.819787] 861:17f
[13056.819792] 103:22f
[13056.819796] 864:17f
[13056.819801] 97:22f
[13056.819806] 873:17f
[13056.819810] 96:22f
[13056.819815] 848:17f
[13056.819820] 118:22f
[13056.819824] 935:17f
[13056.819829] 12:22f
[13056.819834] 938:17f
