[20253.727433] 1194:22f
[20253.727438] 1726:22f
[20253.727443] 1269:22f
[20253.727448] 2070:22f
[20253.727452] 1209:22f
[20253.727457] 797:18f
[20253.727461] 3890:22f
[20253.727466] 966:22f
[20253.727471] 1380:22f
[20253.727476] 1011:22f
[20253.727480] 2124:22f
[20253.727485] 1275:22f
[20253.727490] 1880:22f
[20253.727494] 1429:22f
[20253.727499] 1952:22f
[20253.727504] 2147:22f
[20253.727508] 1942:18f
[20253.727513] 3903:22f
[20253.727518] 970:22f
[20253.727523] 1308:22f
[20253.727527] 1094:22f
[20253.727532] 1226:22f
[20253.727536] 2127:22f
[20253.727541] 1533:22f
[20253.727546] 2054:22f
[20253.727551] 975:22f
[20253.727555] 1003:22f
[20253.727560] 2046:22f
[20253.727564] 1755:18f
[20253.727569] 3905:22f
[20253.727574] 969:22f
[20253.727579] 1671:22f
[20253.727583] 1363:22f
[20253.727588] 1110:22f
[20253.727593] 1877:22f
[20253.727597] 1711:22f
[20253.727602] 2067:22f
[20253.727607] 2030:22f
[20253.727611] 2142:22f
[20253.727616] 1151:18f
[20253.727621] 3905:22f
[20253.727625] 975:22f
[20253.727630] 1324:22f
[20253.727635] 1878:22f
[20253.727639] 1807:22f
[20253.727644] 1944:22f
[20253.727649] 1789:22f
[20253.727653] 2055:22f
[20253.727658] 1629:22f
[20253.727663] 1791:22f
[20253.727668] 899:18f
[20253.727672] 3901:22f
[20253.727677] 970:22f
[20253.727682] 1910:22f
[20253.727686] 1490:22f
[20253.727691] 1215:22f
[20253.727696] 964:22f
[20253.727700] 1940:22f
[20253.727705] 1720:22f
[20253.727710] 1843:22f
[20253.727714] 1984:22f
[20253.727719] 2056:18f
[20253.727724] 3905:22f
[20253.727728] 967:22f
[20253.727733] 1489:22f
[20253.727738] 1089:22f
[20253.727743] 1072:22f
[20253.727747] 1189:22f
[20253.727752] 1509:22f
[20253.727757] 1829:22f
[20253.727761] 1250:22f
[20253.727766] 2069:22f
[20253.727771] 2171:22f
[20253.727775] 1456:18f
[20253.727780] 3922:22f
[20253.727785] 968:22f
[20253.727789] 2070:22f
[20253.727794] 978:22f
[20253.727799] 1911:22f
[20253.727803] 1000:22f
[20253.727808] 1478:22f
[20253.727813] 1042:22f
[20253.727817] 1373:22f
[20253.727822] 1192:22f
[20253.727827] 1915:22f
[20253.727832] 2018:22f
[20253.727836] 125:18f
[20253.727841] 3912:22f
[20253.727846] 962:22f
[20253.727850] 1503:22f
[20253.727855] 1062:22f
[20253.727860] 1671:22f
[20253.727864] 1332:22f
[20253.727869] 974:22f
[20253.727874] 2189:22f
[20253.727878] 1662:22f
[20253.727883] 1103:22f
[20253.727888] 1739:22f
[20253.727892] 1676:22f
[20253.727897] 207:18f
[20253.727902] 4176:22f
[20253.727906] 967:22f
[20253.727911] 1230:22f
[20253.727916] 1884:22f
[20253.727921] 2034:22f
[20253.727925] 1550:22f
[20253.727930] 1192:22f
[20253.727934] 2008:22f
[20253.727939] 1609:22f
[20253.727944] 1431:22f
[20253.727949] 1914:18f
[20253.727953] 3911:22f
[20253.727958] 977:22f
[20253.727962] 1358:22f
[20253.727967] 1999:22f
[20253.727972] 1818:22f
[20253.727977] 2276:22f
[20253.727981] 1527:22f
[20253.727986] 1948:22f
[20253.727991] 1527:22f
[20253.727995] 1593:22f
[20253.728000] 1061:18f
[20253.728005] 3975:22f
[20253.728009] 963:22f
[20253.728014] 1374:22f
[20253.728019] 1991:22f
[20253.728023] 1408:22f
[20253.728028] 2112:22f
[20253.728033] 2066:22f
[20253.728037] 1707:22f
