[21103.502770] 25:22f
[21103.502775] 971:27f
[21103.502780] 958:22f
[21103.502784] 13:27f
[21103.502789] 955:22f
[21103.502794] 326:17f
[21103.502798] 656:22f
[21103.502803] 1077:22f
[21103.502808] 257:17f
[21103.502813] 693:22f
[21103.502817] 944:27f
[21103.502822] 976:22f
[21103.502827] 15:27f
[21103.502831] 933:17f
[21103.502836] 25:22f
[21103.502841] 920:27f
[21103.502845] 960:27f
[21103.502850] 933:22f
[21103.502855] 784:17f
[21103.502859] 212:22f
[21103.502864] 985:22f
[21103.502869] 892:17f
[21103.502874] 62:22f
[21103.502878] 728:18f
[21103.502883] 1499:22f
[21103.502888] 20:27f
[21103.502892] 486:17f
[21103.502897] 457:22f
[21103.502902] 593:17f
[21103.502907] 375:22f
[21103.502911] 623:17f
[21103.502916] 484:22f
[21103.502921] 481:17f
[21103.502925] 672:22f
[21103.502930] 321:17f
[21103.502935] 636:22f
[21103.502939] 327:17f
[21103.502944] 835:22f
[21103.502949] 239:17f
[21103.502954] 855:22f
[21103.502958] 110:17f
[21103.502963] 1092:17f
[21103.502968] 20:22f
[21103.502972] 945:17f
[21103.502977] 179:22f
[21103.502982] 830:17f
[21103.502986] 225:22f
[21103.502991] 824:17f
[21103.502996] 190:22f
[21103.503001] 877:17f
[21103.503005] 86:22f
[21103.503010] 877:17f
[21103.503015] 120:22f
[21103.503019] 916:17f
[21103.503024] 50:22f
[21103.503029] 1008:22f
[21103.503033] 17:17f
[21103.503038] 965:17f
[21103.503042] 0:27f
[21103.503047] 967:17f
[21103.503052] 27:22f
[21103.503057] 960:17f
[21103.503061] 5:22f
[21103.503066] 992:22f
[21103.503071] 12:17f
[21103.503075] 949:22f
[21103.503080] 13:17f
[21103.503085] 963:17f
[21103.503089] 236:22f
[21103.503094] 721:17f
[21103.503099] 284:22f
[21103.503103] 720:17f
[21103.503108] 446:22f
[21103.503113] 648:17f
[21103.503117] 407:22f
[21103.503122] 547:17f
[21103.503127] 451:22f
[21103.503132] 544:17f
[21103.503136] 641:22f
[21103.503141] 377:17f
[21103.503146] 597:22f
[21103.503151] 397:17f
[21103.503155] 703:22f
[21103.503160] 462:17f
[21103.503165] 676:22f
[21103.503169] 294:17f
[21103.503174] 715:22f
[21103.503179] 341:17f
[21103.503183] 739:22f
[21103.503188] 259:17f
[21103.503193] 749:22f
[21103.503197] 295:17f
[21103.503202] 775:22f
[21103.503207] 195:17f
