[18679.601367] 964:17f
[18679.601372] 1049:17f
[18679.601377] 1024:17f
[18679.601381] 1084:17f
[18679.601386] 959:17f
[18679.601391] 981:17f
[18679.601395] 1085:17f
[18679.601400] 967:17f
[18679.601405] 997:17f
[18679.601410] 990:17f
[18679.601414] 1064:17f
[18679.601419] 1002:17f
[18679.601424] 1054:17f
[18679.601429] 968:17f
[18679.601433] 1026:17f
[18679.601438] 1081:17f
[18679.601443] 1118:17f
[18679.601447] 967:17f
[18679.601452] 1057:17f
[18679.601457] 992:17f
[18679.601462] 1021:17f
[18679.601466] 970:17f
[18679.601471] 1023:17f
[18679.601476] 971:17f
[18679.601481] 992:17f
[18679.601485] 1006:17f
[18679.601490] 979:17f
[18679.601495] 1047:17f
[18679.601499] 969:17f
[18679.601504] 991:17f
[18679.601509] 1066:17f
[18679.601514] 1055:17f
[18679.601518] 1010:17f
[18679.601523] 1111:17f
[18679.601528] 966:17f
[18679.601533] 1156:17f
[18679.601537] 970:17f
[18679.601542] 983:17f
[18679.601547] 1034:17f
[18679.601551] 1053:17f
[18679.601556] 1051:17f
[18679.601561] 967:17f
[18679.601566] 998:17f
[18679.601570] 1063:17f
[18679.601575] 968:17f
[18679.601580] 1067:17f
[18679.601584] 968:17f
[18679.601589] 962:17f
[18679.601594] 969:17f
[18679.601598] 993:17f
[18679.601603] 1022:17f
[18679.601608] 990:17f
[18679.601613] 974:17f
[18679.601617] 1077:17f
[18679.601622] 983:17f
[18679.601627] 963:17f
[18679.601632] 976:17f
[18679.601636] 1004:17f
[18679.601641] 989:17f
[18679.601646] 1011:17f
[18679.601650] 1013:17f
[18679.601655] 972:17f
[18679.601660] 1046:17f
[18679.601665] 969:17f
[18679.601669] 1051:17f
[18679.601674] 1146:17f
[18679.601679] 965:17f
[18679.601684] 1070:17f
[18679.601688] 964:17f
[18679.601693] 971:17f
[18679.601698] 1004:17f
[18679.601702] 972:17f
[18679.601707] 1050:17f
[18679.601712] 1100:17f
[18679.601717] 1014:17f
[18679.601721] 1052:17f
[18679.601726] 990:17f
[18679.601731] 974:17f
[18679.601736] 1087:17f
[18679.601740] 965:17f
[18679.601745] 1033:17f
[18679.601750] 1069:17f
[18679.601755] 1027:17f
[18679.601759] 972:17f
[18679.601764] 1072:17f
[18679.601769] 1051:17f
[18679.601773] 1021:17f
[18679.601778] 967:17f
[18679.601783] 992:17f
[18679.601787] 246:18f
[18679.601792] 1583:17f
[18679.601797] 991:17f
[18679.601802] 1951:17f
[18679.601807] 1230:17f
[18679.601811] 2155:17f
[18679.601816] 969:17f
[18679.601821] 991:17f
[18679.601825] 1957:17f
[18679.601830] 1763:17f
[18679.601835] 1468:17f
[18679.601839] 1913:17f
[18679.601844] 1687:17f
[18679.601849] 1070:17f
[18679.601854] 982:17f
[18679.601859] 1335:17f
[18679.601863] 1010:17f
[18679.601868] 1002:17f
[18679.601873] 1637:17f
[18679.601877] 2027:17f
[18679.601882] 2039:17f
[18679.601887] 1403:17f
[18679.601892] 2114:17f
[18679.601896] 1991:17f
[18679.601901] 1770:17f
[18679.601906] 1128:17f
[18679.601910] 1893:17f
[18679.601915] 1319:17f
[18679.601920] 1511:17f
[18679.601924] 1448:17f
[18679.601929] 1114:17f
[18679.601934] 1433:17f
[18679.601939] 1621:17f
[18679.601943] 1331:17f
[18679.601948] 1015:17f
[18679.601953] 2105:17f
[18679.601958] 1051:17f
