[11657.710965] 872:17f
[11657.710970] 179:22f
[11657.710975] 898:17f
[11657.710979] 65:22f
[11657.710984] 939:17f
[11657.710989] 119:22f
[11657.710993] 835:17f
[11657.710998] 192:22f
[11657.711003] 871:17f
[11657.711008] 92:22f
[11657.711012] 963:17f
[11657.711017] 2:22f
[11657.711022] 996:17f
[11657.711026] 30:22f
[11657.711031] 987:27f
[11657.711036] 973:17f
[11657.711040] 19:22f
[11657.711045] 999:22f
[11657.711050] 187:17f
[11657.711054] 848:22f
[11657.711059] 119:17f
[11657.711064] 872:22f
[11657.711068] 145:17f
[11657.711073] 897:22f
[11657.711078] 102:17f
[11657.711083] 912:22f
[11657.711087] 52:17f
[11657.711092] 918:22f
[11657.711097] 56:17f
[11657.711101] 993:17f
[11657.711106] 14:22f
[11657.711111] 1026:17f
[11657.711115] 10:22f
[11657.711120] 970:22f
